PID,POIs,Priority = 5,Priority = 4,Priority = 3,Priority = 2,Priority = 1
POI1,Gateway of India,History and Culture,Scenic,Local Experiences,,
POI2,Chhatrapati Shivaji Terminus,History and Culture,Architecture,,,
POI3,Marine Drive,Scenic,Local Experiences,,,
POI4,Elephanta Caves,History and Culture,Adventure,Scenic,,
POI5,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,History and Culture,,,
POI6,Haji Ali Dargah,Religious,Scenic,,,
POI7,Siddhivinayak Temple,Religious,Local Experiences,,,
POI8,Juhu Beach,Scenic,Local Experiences,Food and Drinks,,
POI9,Sanjay Gandhi National Park,Scenic,Adventure,,,
POI10,Bandra-Worli Sea Link,Scenic,Architecture,,,
POI11,Colaba Causeway,Shopping,Food and Drinks,Local Experiences,,
POI12,Kanheri Caves,History and Culture,Adventure,,,
POI13,Nehru Science Centre,Museum,Educational,,,
POI14,Mahalaxmi Temple,Religious,Local Experiences,,,
POI15,Mumba Devi Temple,Religious,Local Experiences,,,
POI16,ISKCON Temple,Religious,Architecture,,,
POI17,Shree Siddhivinayak,Religious,Local Experiences,,,
POI18,Girgaum Chowpatty,Scenic,Food and Drinks,Local Experiences,,
POI19,Hanging Gardens,Scenic,,,,
POI20,Taraporewala Aquarium,Educational,Adventure,,,
POI21,Powai Lake,Scenic,Local Experiences,,,
POI22,Shivaji Park,Local Experiences,Scenic,,,
POI23,Worli Fort,History and Culture,Scenic,,,
POI24,Sanjay Gandhi National Park Safari,Adventure,Scenic,,,
POI25,National Centre for the Performing Arts,Shows and Concerts,Culture,,,
POI26,Prithvi Theatre,Shows and Concerts,Culture,,,
POI27,Versova Beach,Scenic,Local Experiences,,,
POI28,Basilica of Our Lady of the Mount,Religious,Architecture,,,
POI29,Global Vipassana Pagoda,Religious,Architecture,,,
POI30,Bandra Bandstand,Scenic,Local Experiences,,,
POI31,Zaveri Bazaar,Shopping,Local Experiences,,,
POI32,Aarey Milk Colony,Scenic,Local Experiences,,,
POI33,Khau Galli,Food and Drinks,Local Experiences,,,
POI34,Dr. Bhau Daji Lad Mumbai City Museum,Museum,History and Culture,,,
POI35,RBI Monetary Museum,Museum,Educational,,,
POI36,Imagica Theme Park,Adventure,Entertainment,,,
POI37,EsselWorld,Adventure,Entertainment,,,
POI38,Banganga Tank,History and Culture,Religious,,,
POI39,Crawford Market,Shopping,Local Experiences,,,
POI40,Fashion Street,Shopping,Local Experiences,,,
POI41,Phoenix Marketcity,Shopping,Entertainment,,,
POI42,Mahakali Caves,History and Culture,Religious,,,
POI43,Jehangir Art Gallery,Museum,Culture,,,
POI44,Water Kingdom,Adventure,Entertainment,,,
POI45,Shanmukhananda Hall,Shows and Concerts,Culture,,,
POI46,Mahalakshmi Racecourse,Entertainment,Local Experiences,,,
POI47,Kidzania,Educational,Entertainment,,,
POI48,Sewri Fort,History and Culture,Scenic,,,
POI49,Dharavi,Local Experiences,Educational,,,
POI50,Sanjay Gandhi National Park Boating,Adventure,Scenic,,,
POI51,Powai Lake,Scenic,Local Experiences,,,
POI52,Mani Bhavan Gandhi Museum,Museum,History and Culture,,,
POI53,Mount Mary Church,Religious,Architecture,,,
POI54,Sanjay Gandhi National Park Nature Trails,Adventure,Scenic,,,
POI55,Babulnath Temple,Religious,Local Experiences,,,
POI56,Walkeshwar Temple,Religious,Architecture,,,
POI57,Mahalakshmi Temple,Religious,Local Experiences,,,
POI58,Haji Ali Dargah,Religious,Scenic,,,
POI59,Maharashtra Nature Park,Scenic,Educational,,,
POI60,Yoga Institute,Health and Wellness,Educational,,,
POI61,Vihar Lake,Scenic,,,,
POI62,Bandra Jama Masjid,Religious,Architecture,,,
POI63,Nehru Planetarium,Educational,Entertainment,,,
POI64,Horniman Circle Garden,Scenic,Local Experiences,,,
POI65,High Street Phoenix,Shopping,Entertainment,,,
POI66,Inorbit Mall,Shopping,Entertainment,,,
POI67,Shivaji Park,Local Experiences,Scenic,,,
POI68,Chor Bazaar,Shopping,Local Experiences,,,
POI69,Snow World,Entertainment,Adventure,,,
POI70,Afghan Church,Religious,History and Culture,,,
POI71,Linking Road,Shopping,Local Experiences,,,
POI72,Karnala Bird Sanctuary,Scenic,Adventure,,,
POI73,Balloon Ride Mumbai,Adventure,Scenic,,,
POI74,Kidzania,Educational,Entertainment,,,
POI75,Siddhivinayak Mandir,Religious,Local Experiences,,,
POI76,Bandra Fort,History and Culture,Scenic,,,
POI77,Chowpatty Beach,Scenic,Local Experiences,Food and Drinks,,