,"Lat,Lng"
POI1,"18.9219,72.8346"
POI2,"18.9398,72.8354"
POI3,"18.9442,72.8237"
POI4,"18.9633,72.9315"
POI5,"18.9269,72.8323"
POI6,"18.9827,72.8090"
POI7,"19.0170,72.8346"
POI8,"19.0883,72.8262"
POI9,"19.2147,72.9106"
POI10,"19.0437,72.8180"
POI11,"18.9150,72.8271"
POI12,"19.2062,72.9140"
POI13,"18.9894,72.8270"
POI14,"18.9573,72.8154"
POI15,"18.9516,72.8332"
POI16,"19.1352,72.8479"
POI17,"19.0170,72.8346"
POI18,"18.9542,72.8134"
POI19,"18.9712,72.8063"
POI20,"18.9431,72.8239"
POI21,"19.1324,72.9150"
POI22,"19.0283,72.8379"
POI23,"18.9977,72.8176"
POI24,"19.2147,72.9106"
POI25,"18.9267,72.8312"
POI26,"19.1437,72.8324"
POI27,"19.1411,72.8219"
POI28,"19.0454,72.8193"
POI29,"19.1437,72.7684"
POI30,"19.0509,72.8204"
POI31,"18.9487,72.8367"
POI32,"19.1599,72.8776"
POI33,"18.9531,72.8324"
POI34,"18.9769,72.8331"
POI35,"18.9322,72.8340"
POI36,"19.1274,73.4901"
POI37,"19.2528,72.9772"
POI38,"18.9421,72.8242"
POI39,"18.9516,72.8347"
POI40,"18.9354,72.8324"
POI41,"19.0895,72.8656"
POI42,"19.0522,72.9129"
POI43,"18.9276,72.8317"
POI44,"19.2528,72.9772"
POI45,"19.0178,72.8478"
POI46,"18.9825,72.8144"
POI47,"19.1196,72.9051"
POI48,"18.9601,72.8519"
POI49,"19.0454,72.8475"
POI50,"19.2147,72.9106"
POI51,"19.1324,72.9150"
POI52,"18.9606,72.8160"
POI53,"19.0454,72.8193"
POI54,"19.2147,72.9106"
POI55,"18.9554,72.8093"
POI56,"18.9554,72.8093"
POI57,"18.9825,72.8144"
POI58,"18.9998,72.8080"
POI59,"19.0522,72.8582"
POI60,"19.0954,72.8575"
POI61,"19.1324,72.9150"
POI62,"19.0509,72.8401"
POI63,"18.9892,72.8156"
POI64,"18.9326,72.8315"
POI65,"18.9936,72.8252"
POI66,"19.1324,72.9150"
POI67,"19.0283,72.8379"
POI68,"18.9516,72.8347"
POI69,"19.1196,72.9051"
POI70,"18.9145,72.8271"
POI71,"19.0649,72.8338"
POI72,"18.8909,73.1159"
POI73,"19.0954,72.8575"
POI74,"19.1196,72.9051"
POI75,"19.0168,72.8302"
POI76,"19.0509,72.8204"
POI77,"18.9542,72.8134"